KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;Semester : I;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: Unit Produksi  (Air Bio Ernergi ESEMKA);;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Tangki Besar Air;;Tedmond Grand;-;-;Alumanium;2012;02.09.01.53.09.01;001; Rp40.000.000 ; UP. SMK ;Baik;-;-;
2;Tangki Kecil Air;;KSK;-;-;Alumanium;2012;02.09.01.53.09.01;001;" "" "; UP. SMK ;Baik;-;-;
3;Penyaring Besar;;-;-;-;Alumanium;2012;02.09.01.53.32.01;001;" "" "; UP. SMK ;Baik;-;-;
4;Penyaring Kecil;;-;-;-;Alumanium;2012;02.09.01.53.32.01;001;" "" "; UP. SMK ;Baik;-;-;
5;Pompa Kecil;;-;-;-;Alumanium;2012;02.09.01.53.32.01;001;" "" "; UP. SMK ;Baik;-;-;
6;Penyring;;-;-;-;Alumanium;2012;02.09.01.53.32.01;001;" "" "; UP. SMK ;Baik;-;-;
7;Pembersih  Galon ;;-;-;-;Alumanium;2012;02.09.01.53.32.01;001;" "" "; UP. SMK ;Baik;-;-;
8;Pembersih  Galon Senar;;-;-;-;Alumanium;2012;02.09.01.53.32.01;001;" "" "; UP. SMK ;Baik;-;-;
9;Utraviolet;;-;-;-;Alumanium;2012;02.09.01.53.32.01;001;" "" "; UP. SMK ;Baik;-;-;
10;Alat Press Tutup Gelas;;-;-;-;Campuran;2012;02.09.01.53.32.01;001;" "" "; UP. SMK ;Baik;-;-;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 19 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;ACH. SARJONO;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. ………………………………;;;;NIP . 19780722 200801 1 011;;;;;
