KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;Semester : I;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;:  ALFA MART CLASS;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber ;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Rak Besi /Tempat Barang ;;Bondola;1-180;-;Campuran;2012;02.06.01.04.02;001-002; Rp15.260.000 ; APBD-1 ;Baik;-;-;
2;Rak Besi /Tempat Barang ;;Bondola;1-180;-;Campuran;2012;02.06.01.04.02;001-002; Rp12.250.000 ; APBD-1 ;Baik;-;-;
3;Meja Komputer;;Orbitrend;-;-;Campuran;2012;02.06.02.01.37;001-002; Rp600.000 ; APBD-1 ;Baik;-;-;
4;Stavol;;Kasugawa;-;-;Campuran;2012;02.06.03.05.10;001-002; Rp150.000 ; APBD-1 ;Baik;-;-;
5;Cash Register;;Sharp;T4E1185041;-;Campuran;2012;02.06.01.02.07;001-002; Rp7.000.000 ; APBD-1 ;Baik;-;-;
6;Bercode Printer;;TSC;-;-;Campuran;2012;02.06.01.02.13;001-002; Rp2.700.000 ; APBD-1 ;Baik;-;-;
7;Mesin Lebel;;Sato;-;-;Campuran;2012;02.06.01.02.27;001-002; Rp900.000 ; APBD-1 ;Baik;-;-;
8;PC. Unit Operator (Kasir);;Core i3;-;-;Campuran;2012;02.06.03.02.01;001-002; - ; APBD-1 ;Baik;-;-;
9;Labelling;;-;-;-;Campuran;2012;02.06.01.05.09;001-003; - ; APBD-1 ;Baik;-;-;
10;Money Detector;;-;-;-;Campuran;2012;02.06.01.02.01;001-002; - ; APBD-1 ;Baik;-;-;
11;Timbangan Digital;;-;-;-;Campuran;2012;2.06.02.06.25;002; - ; APBD-1 ;Baik;-;-;
12;Meja Cafe';;-;-;-;Campuran;2017;02.06.02.01.20;001-003; Rp7.200.000 ; APBD-1 ;Baik;-;-;
13;Kursi Cafe';;-;-;-;Campuran;2017;02.06.02.01.05;001-006; - ; APBD-1 ;Baik;-;-;
14;CCTV;;-;-;-;Campuran;2017;02.06.02.06.50;001-002; Rp2.252.000 ;BOS;Baik;-;-;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;FATHORRASI, S.Pd;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. 19750403 200701 1 034;;;;NIP . 19780722 200801 1 011;;;;;
