KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;Semester : I;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG  BANK MINI;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                                ( B );Kurang Baik                  ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Brankas;;-;-;44X74;Besi;1984;02.06.01.04.06;001; Rp2.500.000 ; B2P ;Baik;-;-;
2;Papan  Pengumuman;;-;-;-;Kayu;1993;02.06.01.05.07;001; Rp250.000 ; B2P ;Baik;-;-;
3;AC;;National;-;-;Campuran;1999;02.06.02.04.03;001; Rp3.500.000 ;Baik;Baik;-;-;
4;Meja  Komputer;;-;-;110x50;Kayu;1999;02.06.02.01.37;001; Rp200.000 ; B2P ;Baik;-;-;
5;Meja Pelayanan;;-;-;-;Kayu;2005;02.06.02.01.12;001; Rp550.000 ;B2P;Baik;-;-;
6;PC. Unit;;P.IV;-;-;Campuran;2006;02.06.03.02.01;001; Rp4.000.000 ;B2P;Baik;-;-;
7;AC;;LG;-;-;Campuran;2006;02.06.02.04.03;001; Rp4.500.000 ;Baik;Baik;-;-;
8;Stavol;;-;-;-;Campuran;2006;02.06.03.05.10;001; Rp150.000 ; B2P ;Baik;-;-;
9;Laptop;;Acer;-;-;Campuran;2009;02.06.03.02.02;001; Rp5.000.000 ;B2P;Baik;-;-;
10;Lemari 5 Pintu;;Solid;-;-;Kayu;2009;02.06.02.01.61;001-002; Rp150.000 ;B2P;Baik;-;-;
11;Mesin Hitung Manual;;Ten;-;-;Kayu;2009;02.06.01.02.01;001-003; Rp84.000 ; B2P ;Baik;-;-;
12;Struktur Organisasi;;-;-;-;Kayu;2010;02.06.02.06.29;001; Rp15.000 ; B2P ;Baik;-;-;
13;Meja  Resepsion  Bank;;-;-;-;-;2012;02.06.02.01.17;001; Rp3.500.000 ; B2P ;Baik;-;-;
14;Papan Bacroand Bank;;-;-;-;-;2012;02.06.01.05.07;001; Rp1.000.000 ; B2P ;Baik;-;-;
15;Printer;;Epson;-;-;Campuran;2012;02.06.02.01.03;001; Rp750.000 ;B2P;Baik;-;-;
16;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
17;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
18;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
19;Aipon;;Sahitel;-;-;Campuran;2016;02.07.02.01.11;001; Rp250.000 ;BOS;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGGUNG JAWAB;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;RUSLAN EFENDI;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;
