KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;Semester : I;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG UNIT PRODUKSI PERKANTORAN;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik         ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Kursi putar;;Chitos;-;-;Campuran;1999;02.06.02.01.30;001-026; Rp9.100.000 ;B2P;-;-;RB;
2;Papan Tulis;;-;-;-;Campuran;1999;02.06.01.05.01;001; Rp600.000 ;B2P;Baik;-;-;
3;Loudspeaker;;InterM;-;-;Campuran;1999;02.06.02.06.07;001-002; Rp250.000 ;B2P;-;-;KB;
4;Lemari Kayu;;-;-;-;Kayu;1999;02.06.02.01.04;001; Rp850.000 ;B2P;Baik;-;-;
5;Papan Gambar Tuts M. Tik;;-;-;-;Kayu;1999;02.06.01.05.37;001; Rp270.000 ;B2P;-;-;KB;
6;Meja Perkantoran;;-;-;-;Kayu;1999;02.06.02.01.11;001-040; Rp18.000.000 ;B2P;-;-;RB;
7;Meja Tulis;;-;-;-;Kayu;1999;02.06.02.01.11;001-004; Rp1.000.000 ;B2P;Baik;-;-;
8;Kipas Angin;;CMC;-;-;Campuran;2003;02.06.02.04.06;001-003; Rp300.000 ;B2P;-;-;KB;
9;Jam Dinding;;-;-;-;Plastik;2005;02.06.02.02.01;001; Rp37.000 ;B2P;Baik;-;-;
10;Filling Cabinet;;Brother;-;62x46;Campuran;2006;02.06.01.04.04;001-002; Rp2.000.000 ;B2P;Baik;-;-;
11;Labelling;;-;-;-;Campuran;2008;02.06.01.02.13;001; Rp400.000 ;B2P;Baik;-;-;
12;Faximile;;Panasonic;-;-;Campuran;2007;02.07.02.01.20;001-003; Rp1.500.000 ; B2P ;Baik;-;-;
13;Etalase;;Flash;-;80x40;Campuran;2006;02.07.03.01.04;001-003; Rp3.000.000 ;B2P;Baik;-;-;
14;Mesin Foto Copy;;Canon;NP.6045;-;Campuran;2009;02.06.01.03.08;001-002; Rp40.000.000 ;B2P;Baik;-;-;
15;Mesin Foto Copy;;Gestatnar;MP.2000 LE;-;Campuran ;2009;02.06.01.03.07;001; Rp15.000.000 ;B2P;-;-;RB;
16;Telepon;;Sahitel;-;-;Campuran;2011;02.07.02.01.11;001-007; Rp1.120.000 ; B2P ;Baik;-;-;
17;Telepon;;Morgen;-;-;Campuran;2011;02.07.02.01.11;001-004; Rp640.000 ; B2P ;Baik;-;-;
18;PC. Unit;;-;-;-;Campuran;2013;02.06.03.05.01;001-010; Rp55.000.000 ;B2P;-;-;RB;
19;Laptop;;Dell;Core  i3;-;Campuran;2014;02.06.03.02.02;001; Rp4.900.000 ;BOS;-;-;KB;
20;Printer;;Epson;L300;-;Campuran;2013;02.06.03.05.03;001-002; - ; Diknas ;Baik;-;-;
21;Figura Gambar Presiden;;-;-;-;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
22;Figura Gambar Presiden;;-;-;-;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
23;Figura Lamb. Garuda;;-;-;-;Campuran;2014;02.06.02.06.29;001; Rp30.000 ;B2P;Baik;-;-;
24;Mesin Laminating;;-;-;-;Campuran;2014;02.06.02.06.28;001; Rp900.000 ;B2P;Baik;-;-;
25;Intercom Unit;;-;-;-;Campuran;2016;02.07.01.01.82;001-002; Rp750.000 ; BOS ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;;PENANGUNG JAWAB;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;;Hj. FURUL MISIYATI;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;;NIP. 19661124 199303 2 006;;;NIP . 19780722 200801 1 011;;;;;
