KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;Semester : I;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG  DAPUR / GUDANG;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik         ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Kursi ;;-;-;58x52;;1985;02.06.02.01.06;001-003; Rp90.000 ; B2P ;Baik;-;-;
2;Lemari  ;;-;-;-;Kayu;1986;02.06.02.01.01;001; Rp850.000 ; B2P ;Baik;-;-;
3;Kompor  Minyak;;Hock;-;-;Campuran;2005;02.06.02.05.03;001; Rp100.000 ; B2P ;Baik;-;-;
4;Panci;;-;-;-;Aluminium;2005;02.06.02.05.05;001; Rp75.000 ; B2P ;Baik;-;-;
5;Gelas Besar;;-;-;-;Kaca;2006;02.06.02.05.14;001-100; Rp200.000 ; B2P ;Baik;-;-;
6;Gelas Kecil;;-;-;-;Kaca;2006;02.06.02.05.14;001-100; Rp350.000 ; B2P ;Baik;-;-;
7;Termos  The/Kopi;;Lion Star;-;Besar;Campuran;2007;02.06.02.05.07;001-003; Rp300.000 ; B2P ;Baik;-;-;
8;Kompor Gas;;Rinai;-;-;Campuran;2010;02.06.02.05.02;001; Rp290.000 ; B2P ;Baik;-;-;
9;Tabung Gas;;Pertamina;-;-;Besi;2010;02.06.02.05.09;001; Rp150.000 ; B2P ;Baik;-;-;
10;Gerobak Dorong;;Artco Merah;-;-;Besi;2011;02.05.02.02.11;001; Rp150.000 ; B2P ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB ;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;;S A Y A D I;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP.  19610817 199903 1 004;;;;NIP . 19780722 200801 1 011;;;;;
