KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;Semester : I;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG  KANTIN SMK NEGERI 1 SUMENEP;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik         ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Kipas  Angin Tembok;;Maspion;-;-;Campuran;1990;02.06.02.04.07;003; Rp195.000 ; B2P ;Baik;-;-;
2;Meja ;;-;-;-;Kayu;2005;02.06.02.01.11;001-002; Rp300.000 ;B2P;Baik;-;-;
3;Lemari Pendingin;;The Sosro;-;-;Campuran;2005;02.06.02.04.01;001; Pabrik ;B2P;Baik;-;-;
4;Lemari Pendingin;;Coca Cola;-;-;Campuran;2005;02.06.02.04.01;001; Pabrik ;B2P;Baik;-;-;
5;Etalase;;Flash;-;80x40;Campuran;2006;02.07.03.01.04;001-005; Rp3.000.000 ;B2P;Baik;-;-;
6;Stavol;;-;-;-;Campuran;2006;02.06.03.05.10;001-004; Rp600.000 ;B2P;Baik;-;-;
7;Jam Dinding;;-;-;182x60;Kayu;2008;02.06.02.02.01;001; Rp37.000 ;B2P;Baik;-;-;
8;Lemari 4 Pintu;;-;-;115x50;Kayu;2008;02.06.02.01.01;001; Rp750.000 ; B2P ;Baik;-;-;
9;Kursi;;-;-;-;Kayu;2008;02.06.02.01.06;001-004; Rp50.000 ;B2P;Baik;-;-;
10;Kipas  Angin;;Emerald;-;62x46;Metal;2008;02.06.02.04.06;001; Rp135.000 ;B2P;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB ;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;INDRA DWI PUTRA;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;;;;;NIP . 19780722 200801 1 011;;;;;
