KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;Semester : I;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG LAB. MM & STUDIO;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Display;;Amjeon;-;-;Campuran;2006;02.06.01.05.07;001; Rp2.500.000 ; B2P ;Baik;-;-;
2;Hub 24 part;;D-Link;-;-;Campuran;2006;02.06.03.06.03;001; Rp1.512.000 ; B2P ;Baik;-;-;
3;Meja Operator;;-;;50x110;Kayu;2006;02.06.02.01.03;002; Rp450.000 ; B2P ;Baik;-;-;
4;Kursi ;;-;;50x111;Kayu;2006;02.06.02.01.03;003; Rp450.000 ; B2P ;Baik;-;-;
5;Key Board+Mouse;;Komik;-;Standart;Campuran;2006;02.06.03.05.09;001-020; Rp1.500.000 ; B2P ;Baik;-;-;
6;LCD Proyektor;;BenQ;-;-;Campuran;2010;02.06.03.06.01;001; Rp5.250.000 ; B2P ;Baik;-;-;
7;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
8;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
9;Almari ;;-;-;-;Campuran;2014;02.06.02.01.01;001; - ; B2P ;Baik;-;-;
10;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
11;Stavolt;;Ksugawa;-;-;Campuran;2015;02.06.03.05.10;001; - ; APBN ;Baik;-;-;
12;PC.  Unit Operator;;Asus;-;-;Campuran;2015;02.06.03.02.01;001; - ; APBN ;Baik;-;-;
13;PC.  Unit ;;Asus;AS K1 A/BING;-;Campuran;2015;02.06.03.02.01;047-072; - ; APBN ;Baik;-;-;
14;AC;;Panasonic;-;-;Campuran;2016;02.06.02.04.03;001-002; Rp3.600.000 ; BOS ;Baik;-;-;
15;Meja Komputer;;Prima;-;-;Campuran;2019;02.06.02.01.32;049-072; - ; APBD-1 ;Baik;-;-;
16;Kursi Komputer;;Prima;-;-;Campuran;2019;02.06.02.01.31;049-072; - ; APBD-1 ;Baik;-;-;
17;Kamera Vidio;;Sony;-;-;Campuran;2019;02.06.02.06.21;001-004; Rp66.720.000 ; BOS ;Baik;-;-;
18;Paket Lampu Kamera;;-;-;-;Campuran;2019;02.06.03.06.14;001; Rp3.500.000 ; BOS ;Baik;-;-;
19;3 SD Card;;-;-;-;Campuran;2019;02.06.03.06.09;001; Rp660.000 ; BOS ;Baik;-;-;
20;Komputer PC;;-;-;-;Campuran;2019;02.06.03.02.01;001; Rp13.500.000 ; BOS ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;MIFTAH FARIT, ST;;;;M A R I Y O N O;;;;;
;;NIP. 19641012 198903 1 011;;;;NIP. .................................................;;;;NIP . 19780722 200801 1 011;;;;;
