KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;Semester : I;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG LAB. KOMPUTER-AKUNTANSI;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;White Board;;-;-;-;Triplek;1999;02.06.01.05.01;001; Rp350.000 ; B2P ;Baik;-;-;
2;Meja Komputer;;-;-;46x90;Kayu Jati;2009;02.06.02.01.37;001-022; Rp4.200.000 ; B2P ;Baik;-;-;
3;Kursi Plastik;;Eagle;-;-;Plastik;2009;02.06.02.01.06;001-042; Rp7.920.000 ; B2P ;Baik;-;-;
4;Meja Operator(biasa);;-;;50x110;Kayu;2009;02.06.02.01.3;001-002; Rp400.000 ; B2P ;Baik;-;-;
5;Stavolt;;Elindo;-;-;Campuran;2009;02.06.03.05.10;001-021; Rp150.000 ; B2P ;Baik;-;-;
6;PC Unit;;-;-;-;Campuran;2013;02.06.03.02.01;001-020; Rp179.000.000 ;Diknas;Baik;-;-;
7;PC Unit Operator;;-;-;-;Campuran;2013;02.06.03.02.01;001;-;Diknas;Baik;-;-;
8;Digital  Proyektor;;NEC;-;VE280G;Campuran;2013;02.06.03.05.11;001;-;Diknas;Baik;-;-;
9;Layar Projector;;G-Life;-;70x70;Campuran;2013;02.07.01.01.03;001;-;Diknas;Baik;-;-;
10;Swittch;;-;-;-;Campuran;2013;02.06.03.02.05;001;-;Diknas;Baik;-;-;
11;Lemari Loker;;-;-;-;Kayu;2013;02.06.02.01.54;001; Rp9.000.000 ; B2P ;Baik;-;-;
12;Crimping Tools;;-;-;-;Campuran;2013;02.06.03.04.01;001-010;-;Diknas;Baik;-;-;
13;Printer;;Canon ;-;iP2770;Campuran;2013;02.06.03.05.03;001; - ; Diknas ;Baik;-;-;
14;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
15;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
16;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
17;AC;;Panasonic;-;-;Campuran;2016;02.06.02.04.03;001-002; Rp3.600.000 ; BOS ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd,. M.Pd;;;;Hj. ASMAWATI, S.Pd;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. 19770404 200501 2016;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;
