KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;Semester : I 2017;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: DINAS  PENDIDIKAN;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: LAB. BIOLOGI;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register  ;Sumber; Harga ;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik         ( B );Kurang Baik        ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Meja Praktek Lab.;;-;-;-;Kayu;2013;02.06.02.01.32;001-008;Diknas; Rp99.700.000 ;Baik;-;-;
2;Meja Guru;;-;-;-;Campuran;2013;02.06.02.01.32;001-002;Diknas; - ;Baik;-;-;
3;Kursi Sekolah ;;-;-;-;Campuran;2013;02.06.02.01.31;001-074;Diknas; - ;Baik;-;-;
4;Papan White Board;;-;-;-;Campuran;2013;02.06.01.05.10;001-002;Diknas; - ;Baik;-;-;
5;Jam Dinding;;-;-;-;Campuran;2013;-;001;Diknas; - ;Baik;-;-;
6;Tempat Sampah;;-;-;-;Campuran;2013;-;001;Diknas; - ;Baik;-;-;
7;P3K;;-;-;-;Campuran;2013;-;001;Diknas; - ;Baik;-;-;
8;Gelas Beker 50 ml;;-;-;-;Kaca;2013;02.09.02.04.16;001-020;Diknas; - ;Baik;-;-;
9;Gelas Beker 100 ml;;-;-;-;Kaca;2013;02.09.02.04.16;001-020;Diknas; - ;Baik;-;-;
10;Gelas Beker 250 ml;;-;-;-;Kaca;2013;02.09.02.04.16;001-020;Diknas; - ;Baik;-;-;
11;Gelas Beker 500 ml;;-;-;-;Kaca;2013;02.09.02.04.16;001-010;Diknas; - ;Baik;-;-;
12;Gelas Beker 1000 ml;;-;-;-;Kaca;2013;02.09.02.04.16;001-020;Diknas; - ;Baik;-;-;
13;Gelas Benda;;-;-;-;Kaca;2013;02.09.02.04.16;001-020;Diknas; - ;Baik;-;-;
14;Gelas Penutup;;-;-;-;Kaca;2013;02.09.02.04.16;001-020;Diknas; - ;Baik;-;-;
15;Erlenmeyer 50 ml;;-;-;-;Kaca;2013;02.09.01.12.11;001-030;Diknas; - ;Baik;-;-;
16;Erlenmeyer 100 ml;;-;-;-;Kaca;2013;02.09.01.12.11;001-035;Diknas; - ;Baik;-;-;
17;Erlenmeyer 250 ml;;-;-;-;Kaca;2013;02.09.01.12.11;001-035;Diknas; - ;Baik;-;-;
18;Erlenmeyer 500 ml;;-;-;-;Kaca;2013;02.09.01.12.11;001-010;Diknas; - ;Baik;-;-;
19;Erlenmeyer 1000 ml;;-;-;-;Kaca;2013;02.09.01.12.11;001-010;Diknas; - ;Baik;-;-;
20;Respirometer;;-;-;-;Kaca;2013;02.09.01.12.99;001-005;Diknas; - ;Baik;-;-;
21;Tabung  Reaksi 12x10 m : Isi 10 ;;-;-;-;Kaca;2013;02.09.01.12.100;001-004;Diknas; - ;Baik;-;-;
22;Pembeku Spirtus 100 ml;;-;-;-;Kaca;2013;02.09.02.03.09;001-014;Diknas; - ;Baik;-;-;
23;Gelas Ukuran 100 ml;;-;-;-;Kaca;2013;02.09.02.04.16;001-030;Diknas; - ;Baik;-;-;
24;Gelas Ukuran 10 ml;;-;-;-;Kaca;2013;02.09.02.04.16;001-030;Diknas; - ;Baik;-;-;
25;Corong Kaca 100 mm;;-;-;-;Kaca;2013;02.09.02.04.16;001-010;Diknas; - ;Baik;-;-;
