KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;Semester : II;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: LAB. PERHOTELAN;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Keranjang;;Careta B;-;-;Campuran;2018;02.06.01.04.01;001-002; Rp96.000 ; BOS ;Baik;-;-;
2;Keranjang;;Pajero;-;97x57;Campuran;2018;02.06.02.01.37;001-002; Rp48.000 ; BOS ;Baik;-;-;
4;Rak Hawai;;-;-;-;Campuran;2018;02.06.01.04.02;005-002; Rp100.000 ; BOS ;Baik;-;-;
7;Meja Satrika;;-;-;-;Campuran;2018;02.06.02.06.50;001-002; Rp160.000 ; BOS ;Baik;-;-;
8;Kipas angin;;LG;-;-;Campuran;2018;02.06.03.06.01;001; Rp395.000 ; BOS ;Baik;-;-;
9;Troli room service;;-;-;-;Campuran;2018;02.06.02.06.50;001; Rp1.516.900 ; BOS ;Baik;-;-;
10;Mesin cuci pakaian;;Panasonic;Airlux;-;Campuran;2018;02.06.02.06.44;001; Rp3.500.000 ; BOS ;Baik;-;-;
11;Seterika;;LG;Iron;38x27;Campuran;2018;02.06.02.06.35;001-002; Rp700.000 ; BOS ;Baik;-;-;
12;Lifan;;-;-;38x28;Campuran;2018;02.06.02.06.28;001-002; Rp3.000.000 ; BOS ;Baik;-;-;
13;Spring bed;;-;America;38x27;Campuran;2018;02.06.02.01.08;001; Rp1.250.000 ; BOS ;Baik;-;-;
14;Kasur sponge;;-;-;-;Campuran;2018;02.06.02.01.38;001-002; Rp1.000.000 ; BOS ;Baik;-;-;
15;Tabe manner;;-;-;-;Campuran;2018;02.06.02.06.50;001; Rp500.000 ; BOS ;Baik;-;-;
16;Kursi;;-;-;-;Kayu;2018;02.06.02.01.31;001-002; Rp500.000 ; BOS ;Baik;-;-;
17;Lemari besi;;-;-;-;Besi;2018;02.06.01.04.01;001-002; Rp2.000.000 ; BOS ;Baik;-;-;
18;Roomboy trolly;;-;-;-;Campuran;2018;02.06.02.01.06;001-042; Rp3.375.600 ; BOS ;Baik;-;-;
19;Bantal;;-;-;-;Campuran;2018;02.06.02.01.39;001-004; Rp300.000 ; BOS ;Baik;-;-;
20;Guling;;-;-;-;Campuran;2018;02.06.02.01.40;001-002; Rp150.000 ; BOS ;Baik;-;-;
21;Tempat Jemuran alumanium;;-;-;-;Alumanium;2018;02.06.02.01.50;001-002; Rp1.300.000 ; BOS ;Baik;-;-;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd,. M.Pd;;;;Hj. RUNNI KHAIRUNNISA, S. Pd;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. 19730810 200801 1 010 ;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
