KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;Semester : I;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: Ruang LSP;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register  ;Sumber; Harga ;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik         ( B );Kurang Baik        ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Meja Praktek Lab.;;-;-;-;Kayu;2013;02.06.02.01.32;001-008;Diknas; Rp99.700.000 ;Baik;-;-;
2;Meja Guru;;-;-;-;Campuran;2013;02.06.02.01.32;001-002;Diknas; - ;Baik;-;-;
3;Kursi Sekolah ;;-;-;-;Campuran;2013;02.06.02.01.31;001-074;Diknas; - ;Baik;-;-;
4;Papan White Board;;-;-;-;Campuran;2013;02.06.01.05.10;001-002;Diknas; - ;Baik;-;-;
5;Tempat Sampah;;-;-;-;Plastik;2013;02.06.01.04.14;001;Diknas; - ;Baik;-;-;
6;Percobaan Resonansi Bunyi;;-;-;-;Campuran;2013;02.09.01.13.28;001-004;Diknas; - ;Baik;-;-;
7;Percobaan Sonomoker;;-;-;-;Campuran;2013;02.09.01.13.28;001-003;Diknas; - ;Baik;-;-;
8;Percobaan Atwood;;-;-;-;Campuran;2013;02.09.01.13.28;001-002;Diknas; - ;Baik;-;-;
9;Roll Meter;;-;-;-;Campuran;2013;02.09.01.03.03;001-004;Diknas; - ;Baik;-;-;
10;Multireter;;-;-;-;Campuran;2013;02.09.01.13.28;001-006;Diknas; - ;Baik;-;-;
11;Soket Listrik;;-;-;-;Campuran;2013;02.09.01.13.28;001-009;Diknas; - ;Baik;-;-;
12;Pengeras Suara;;-;-;-;Campuran;2013;02.07.02.01.24;001-004;Diknas; - ;Baik;-;-;
13;Transformator;;-;-;-;Campuran;2013;02.09.01.13.28;001-004;Diknas; - ;Baik;-;-;
14;Papan Luncur;;-;-;-;Campuran;2013;02.09.01.13.28;001-002;Diknas; - ;Baik;-;-;
15;Percobaan Ayunan Sederhana;;-;-;-;Campuran;2013;02.09.01.13.28;001-002;Diknas; - ;Baik;-;-;
16;Percobaan Kereta/Mengetik Waktu;;-;-;-;Campuran;2013;02.09.01.13.28;001-002;Diknas; - ;Baik;-;-;
17;Hukum OHM;;-;-;-;Campuran;2013;02.09.01.13.28;001-004;Diknas; - ;Baik;-;-;
18;Kalorimeter;;-;-;-;Campuran;2013;02.09.02.05.13;001-002;Diknas; - ;Baik;-;-;
19;Pemadam Kebakaran;;-;-;-;Campuran;2013;02.09.01.13.28;001;Diknas; - ;Baik;-;-;
20;Bejana Berhubungan;;-;-;-;Campuran;2013;02.09.02.05.01;001-025;Diknas; - ;Baik;-;-;
21;P3K;;-;-;-;Campuran;2013;02.09.01.13.28;001;Diknas; - ;Baik;-;-;
22;Generator Frekuensi;;-;-;-;Campuran;2013;02.09.01.13.28;001-004;Diknas; - ;Baik;-;-;
23;Name Lengan;;-;-;-;Campuran;2013;02.09.01.13.28;001;Diknas; - ;Baik;-;-;
24;Pegas;;-;-;-;Campuran;2013;02.09.02.03.25;001-004;Diknas; - ;Baik;-;-;
25;Kabel Penghubung;;-;-;-;Campuran;2013;02.09.01.03.03;001;Diknas; - ;Baik;-;-;
26;Garpu Tala;;-;-;-;Campuran;2013;02.09.01.25.08;001-004;Diknas; - ;Baik;-;-;
