KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;Semester : I;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG LAB. RPL;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Etalase;;-;-;-;Campuran;2006;02.07.03.01.04;001; Rp1.000.000 ;B2P;Baik;-;-;
2;Hub 24 part;;D-Link;-;-;Campuran;2006;02.06.03.06.03;001; Rp1.512.000 ; B2P ;Baik;-;-;
3;Key Board+Mouse;;Komik;-;Standart;Campuran;2006;02.06.03.05.09;001-020; Rp1.500.000 ; B2P ;Baik;-;-;
4;LCD Proyektor;;BenQ;-;-;Campuran;2010;02.06.03.06.01;001; Rp5.250.000 ; B2P ;Baik;-;-;
5;Printer;;Canon;-;-;Campuran;2010;02.06.03.05.03;001; Rp750.000 ; B2P ;Baik;-;-;
6;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
7;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
8;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
9;Stavolt;;Ksugawa;-;-;Campuran;2015;02.06.03.05.10;001; - ; APBN ;Baik;-;-;
10;PC.  Unit ;;Asus;AS K1 A/BING;-;Campuran;2015;02.06.03.02.01;001-021; - ; APBN ;Baik;-;-;
11;AC;;Panasonic;-;-;Campuran;2016;02.06.02.04.03;001-002; Rp3.600.000 ; BOS ;Baik;-;-;
12;Meja Komputer;;Prima;-;-;Campuran;2019;02.06.02.01.32;001-024; - ; APBD-1 ;Baik;-;-;
13;Kursi Komputer;;Prima;-;-;Campuran;2019;02.06.02.01.31;001-024; - ; APBD-1 ;Baik;-;-;
14;Papan White Board;;Harmoni;-;-;Campuran;2019;02.06.02.05.10;001; - ; APBD-1 ;Baik;-;-;
15;Meja Guru;;Harmoni;-;-;Campuran;2019;02.06.02.01.24;001; - ; APBD-1 ;Baik;-;-;
16;Kursi Guru;;Harmoni;-;-;Campuran;2019;02.06.02.01.31;001; - ; APBD-1 ;Baik;-;-;
17;Almari ;;Harmoni;-;-;Campuran;2019;02.06.02.01.01;001; - ; APBD-1 ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;MOH. FADJAR EFFENDI, S.Kom ;;;;M A R I Y O N O;;;;;
;;NIP. 19641012 198903 1 011;;;;NIP. 19860824 201001 1 004;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;
