KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;;;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;Semester : I;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;;
RUANGAN;;;: RUANG LAB. TKJ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll;;
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );;;
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15;;
1;Display;;Amjeon;-;-;Campuran;2006;02.06.01.05.07;001; Rp2.500.000 ; B2P ;Baik;-;-;;;
3;Hub 24 part;;D-Link;-;-;Campuran;2006;02.06.03.06.03;001; Rp1.512.000 ; B2P ;Baik;-;-;;;
4;Key Board+Mouse;;Komik;-;Standart;Campuran;2006;02.06.03.05.09;001-020; Rp1.500.000 ; B2P ;Baik;-;-;;;
5;LCD Proyektor;;BenQ;-;-;Campuran;2010;02.06.03.06.01;001; Rp5.250.000 ; B2P ;Baik;-;-;;;
6;Printer;;Canon;-;-;Campuran;2010;02.06.03.05.03;001; Rp750.000 ; B2P ;Baik;-;-;;;
7;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;;;
8;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;;;
9;Almari Besar;;-;-;-;Campuran;2014;02.06.02.01.01;001-003; - ; B2P ;Baik;-;-;;;
10;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;;;
11;Stavolt;;Ksugawa;-;-;Campuran;2015;02.06.03.05.10;001; - ; APBN ;Baik;-;-;;;
12;PC.  Unit ;;Asus;AS K1 A/BING;-;Campuran;2015;02.06.03.02.01;022-046; - ; APBN ;Baik;-;-;;;
13;AC;;Panasonic;-;-;Campuran;2016;02.06.02.04.03;001-002; Rp3.600.000 ; BOS ;Baik;-;-;;;
14;Etalase;;-;-;-;Campuran;2016;02.07.03.01.04;001; Rp1.450.000 ; BOS ;Baik;-;-;;;
15;Meja Komputer;;Prima;-;-;Campuran;2019;02.06.02.01.32;025-048; - ; APBD-1 ;Baik;-;-;;;
16;Kursi Komputer;;Prima;-;-;Campuran;2019;02.06.02.01.31;025-048; - ; APBD-1 ;Baik;-;-;;;
17;Papan White Board;;Harmoni;-;-;Campuran;2019;02.06.02.05.10;001; - ; APBD-1 ;Baik;-;-;;;
18;Meja Guru;;Harmoni;-;-;Campuran;2019;02.06.02.01.24;001; - ; APBD-1 ;Baik;-;-;;;
19;Kursi Guru;;Harmoni;-;-;Campuran;2019;02.06.02.01.31;001; - ; APBD-1 ;Baik;-;-;;;
20;Almari ;;Harmoni;-;-;Campuran;2019;02.06.02.01.01;001; - ; APBD-1 ;Baik;-;-;;;
;;;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;TAUFIKUR RAHMAN, M.T;;;;M A R I Y O N O;;;;;;;
;;NIP. 19641012 198903 1 011;;;;NIP. ..............................................;;;;NIP . 19780722 200801 1 011;;;;;;;
