KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;Semester : I;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG PERPUSTAKAAN ;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register  ;Sumber; Harga ;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik         ( B );Kurang Baik        ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Lemari Referensi;;-;-;225x180;Campuran;1999;02.06.01.04.01;001-002;B2P; Rp650.000 ;Baik;-;-;
2;Lemari Kaca Pamer;;-;-;120x210;Campuran;1999;02.06.01.04.01;001;B2P; Rp800.000 ;Baik;-;-;
3;Kipas Angin Gantung;;CMC;-;Besar;Campuran;2007;02.06.02.04.06;001-006;B2P; Rp840.000 ;Baik;-;-;
4;Jam Dinding;;Maspion;-;-;Campuran;2007;02.06.02.02.03;001;B2P; Rp25.000 ;Baik;-;-;
5;Meja Kerja 1/2 Biro;;-;-;-;Campuran;2007;02.06.02.01.11;001;B2P; - ;Baik;-;-;
6;Kursi Putar;;Chitose;-;-;Campuran;2007;02.06.02.01.30;001-005;B2P; Rp150.000 ;Baik;-;-;
7;Rak Buku Kayu;;-;-;Sedang;Campuran;2007;02.06.01.04.03;001-002;B2P; - ;Baik;-;-;
8;Rak Buku Kayu;;-;-;Kecil;Campuran;2007;02.06.01.04.03;001-002;B2P; - ;Baik;-;-;
9;Rak Buku Besi;;-;-;Besar;Campuran;2007;02.06.01.04.02;001-005;B2P; Rp1.750.000 ;Baik;-;-;
10;Rak Koran;;-;-;Sedang;Campuran;2007;-;001;B2P; - ;Baik;-;-;
11;Rak Majalah;;-;-;Sedang;Campuran;2007;-;001;B2P; - ;Baik;-;-;
12;Rak Lain-lain;;-;-;Sedang;Campuran;2007;-;001;B2P; - ;Baik;-;-;
13;Meja Baca unit;;-;-;Besar;Campuran;2007;02.06.02.01.04;001-004;B2P; - ;Baik;-;-;
14;Antena Parabola;;Matrix;-;-;Campuran;2007;02.06.02.06.03;001;B2P; Rp900.000 ;Baik;-;-;
15;Kursi Tamu;;-;-;-;Campuran;2007;02.06.02.01.28;001;B2P; Rp1.500.000 ;Baik;-;-;
16;Tempat Penitipan Tas;;-;-;-;Campuran;2007;02.06.02.01.14;001;B2P; - ;Baik;-;-;
17;Scanner;;Canon;-;-;Campuran;2007;02.06.03.05.04;001;B2P; Rp1.200.000 ;Baik;-;-;
18;Kotak Katalog;;-;-;-;Campuran;2010;-;001;B2P; Rp900.000 ;Baik;-;-;
19;Alat Peraga Manusia;;-;-;-;Campuran;2007;-;001;B2P; - ;Baik;-;-;
20;Tempat Sampah Plastik;;-;-;-;Campuran;2007;-;001;B2P; Rp25.000 ;Baik;-;-;
21;Meja Kompuater;;Olimpic;-;-;Campuran;2007;02.06.02.01.37;001-002;B2P; Rp200.000 ;Baik;-;-;
22;White Board;;-;-;120x280;Campuran;2008;02.06.01.05.10;001;B2P; Rp300.000 ;Baik;-;-;
23;Kursi Plastik;;DS;-;-;Campuran;2008;02.06.02.01.61;001-032;B2P; Rp1.476.000 ;Baik;-;-;
24;Penyedot Debu;;Eletrulux;-;-;Campuran;2009;02.06.02.06.04;001;B2P; Rp1.815.000 ;Baik;-;-;
