KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;Semester : I;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: POS PANTAU;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Televisi;;Panasonic;-;15 ich;Campuran;2006;02.06.02.06.03;001; Rp900.000 ; B2P ;Baik;-;-;
2;Kursi Plastik;;Eagle;-;-;Campuran;2009;02.06.02.01.06;001-042; Rp7.920.000 ; B2P ;Baik;-;-;
3;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
4;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
5;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
;Aipon;;Sahitel;-;-;Campuran;2016;02.07.02.01.11;001; Rp250.000 ; BOS ;Baik;-;-;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 04 Juni  2018;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd,. M.Pd;;;;ACH. SARJONO;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. ........................................................;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;
