KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;: JAWA TIMUR;;;;;;;;;;;;;
KABUPATEN;;: SUMENEP;;;;;;;;;;;Semester : I;;
UNIT;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;;
SATUAN KERJA;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;
RUANGAN;;: RUANG  KEPALA SEKOLAH;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Ket
;;;;;;;;;;;;Baik         ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Jam  Dinding;;Tristar;-;-;alumunium;1999;02.06.02.02.01;001; Rp37.000 ; B2P ;Baik;-;-;
2;Papan Agenda;;-;-;112 x 62;Triplek;1999;02.06.01.05.07;001; Rp65.000 ; B2P ;Baik;-;-;
3;Kalegrafi Arab;;-;-;150 x 50;Kayu + Kaca;2003;02.06.02.06.50;001; Rp1.200.000 ; B2P ;Baik;-;-;
4;Figura Visi / Misi;;-;-;47x35;Campuran;2005;02.06.02.01.61;001-002; Rp250.000 ; B2P ;Baik;-;-;
5;Kursi Kerja Kasek;;Indachi;-;-;Kayu;2007;02.06.04.03.08;001; Rp900.000 ; B2P ;Baik;-;-;
6;Meja Kasek;;-;-;147 x 69;Kayu;2007;02.06.04.01.08;001; Rp550.000 ; B2P ;Baik;-;-;
7;Kursi  Hadap;;Isebel;-;-;Campuran;2007;02.06.04.05.07;001-002; Rp1.200.000 ; B2P ;Baik;-;-;
8;Layar Proyektor;;-;-;-;Campuran;2007;02.07.01.01.03;001; Rp700.000 ; B2P ;Baik;-;-;
9;Filing Cabinet;;Brother;-;62x46;Campuran;2014;02.06.01.04.04;001; Rp1.000.000 ;B2P;Baik;-;-;
10;Monitor CCTV;;-;-;-;Campuran;2011;02.06.03.05.02;001; Rp3.500.000 ; Diknas ;Baik;-;-;
11;Pembatas Ruangan;;-;-;-;Rotan;2013;02.06.02.06.21;001; Rp900.000 ; B2P ;Baik;-;-;
12;Lemar Panjang;;;;;;2013;02.06.02.06.22;002; Rp1.500.000 ; B2P ;Baik;-;-;
13;Lemari;;-;-;-;Kayu;2013;02.06.02.01.54;001; Rp2.000.000 ; B2P ;Baik;-;-;
14;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
15;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
16;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
17;Lemari ES/Kulkas;;Panasonic;-;115x50;Kayu;2014;02.06.02.01.01;001; Rp1.500.000 ; B2P ;Baik;-;-;
18;Meja Rapat ;;-;-;147 x 69;Kayu;2014;02.06.04.01.08;001-012; Rp6.600.000 ; B2P ;Baik;-;-;
19;Kursi Rapat;;Indachi;-;-;Kayu;2014;02.06.04.03.08;001-12; Rp9.000.000 ; B2P ;Baik;-;-;
20;AC;;Panasonic;-;-;Campuran;2015;02.06.02.04.03;001-002; Rp7.200.000 ; BOS ;Baik;-;-;
21;Kursi Tamu ;;-;-;-;Kayu;2015;02.06.04.06.11;001; Rp4.955.000 ; BOS ;Baik;-;-;
22;LCD Proyektor;;BenQ;-;-;Campuran;2010;02.06.03.06.01;001-008; Rp42.000.000 ; B2P ;Baik;-;-;
23;LCD Proyektor;;BenQ;-;-;Campuran;2010;02.06.03.06.01;001-006; Rp31.500.000 ; B2P ;-;-;RB;
24;LCD Proyektor;;Nec;-;-;Campuran;2010;02.06.03.06.01;001-003; Rp15.750.000 ; B2P ;Baik;-;-;
25;LCD Proyektor;;Nec;-;-;Campuran;2010;02.06.03.06.01;001-002; Rp10.500.000 ; B2P ;-;-;RB;
26;Piagam Penghargaan Kabupaten;;-;-;-;Kayu;2015;02.06.02.06.28;001; - ; BOS ;Baik;-;-;
27;Piagam Menteri Pendidikan;;-;-;-;Kayu;2017;02.06.02.06.29;001; - ; BOS ;Baik;-;-;
28;Figura Gambar Bupati/Wakil Bupati;;-;-;-;Kayu;2018;02.06.02.06.30;001; - ; BOS ;Baik;-;-;
29;Kalender Pendidikan;;-;-;-;Kayu;2019;02.06.02.06.31;001; - ; BOS ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;R A S U L I;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. 19741230 200701 1 014;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;
