KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;Semester : I;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG MENJAHIT;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;AC;;LG;-;-;Campuran;2011;02.06.02.04.03;001-003; Rp7.800.000 ; B2P ;Baik;-;-;
2;Kursi Plastik;;Eagle;-;-;Plastik;2012;02.06.02.01.06;001-012; Rp2.520.000 ; B2P ;Baik;-;-;
3;Pengaris Kayu;;-;-;-;Kayu;2012;02.04.02.11.11;001; Rp35.000 ; B2P ;Baik;-;-;
4;Jangka Berkala;;-;-;-;Campuran;2012;02.04.02.11.04;001; Rp35.000 ; B2P ;Baik;-;-;
5;Lemari  ;;-;-;-;Campuran;2013;02.06.03.05.04;001; Rp900.000 ; APBN ;Baik;-;-;
6;Lemari  Susun ;;-;-;-;Campuran;2013;02.06.03.05.04;001; Rp900.000 ; APBN ;Baik;-;-;
7;Mesin Jahit;;-;-;-;Campuran;2015;02.06.02.06.24;001-010; Rp10.500.000 ; B2P ;Baik;-;-;
8;Jangka Berkala;;-;-;-;Campuran;2012;02.04.02.11.04;001; Rp35.000 ; B2P ;Baik;-;-;
9;Mesin Jahit;;-;-;-;Campuran;2015;02.06.02.06.24;011-020; Rp10.500.000 ; B2P ;Baik;-;-;
10;Mesin Obras;;-;-;-;Campuran;2015;02.06.02.06.24;001-003; Rp3.800.000 ; BOS ;Baik;-;-;
11;Gunting;;-;-;-;Campuran;2015;02.06.02.06.50;001-005; Rp350.000 ; BOS ;Baik;-;-;
12;Meja Potong Kain;;-;-;-;Campuran;2015;02.06.02.06.24;001-006; Rp900.000 ; BOS ;Baik;-;-;
13;Figura Gambar Presiden;;-;-;38x27;Campuran;2015;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
14;Figura Gambar Presiden;;-;-;38x28;Campuran;2015;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
15;Figura Lamb. Garuda;;-;-;38x27;Campuran;2015;02.06.02.06.28;001; Rp30.000 ; B2P ;Baik;-;-;
16;Meja & Mesin Obras;;-;-;-;Campuran;2016;02.06.02.06.24;004-006; Rp1.900.000 ; BOS ;Baik;-;-;
17;Mesin Jahit;;-;-;-;Campuran;2017;02.06.02.06.24;001-030; Rp10.500.000 ; BOS ;Baik;-;-;
18;Mesin Serba Guna;;-;-;-;Campuran;2017;02.06.02.06.24;001; Rp3.750.000 ; BOS ;Baik;-;-;
19;Mesin Industri;;Juki;-;-;Campuran;2017;02.06.02.06.24;001; Rp3.150.000 ; BOS ;Baik;-;-;
20;Handheld Gimbal ;;-;-;-;Campuran;2018;02.06.03.03.14;001; Rp2.500.000 ; BOS ;Baik;-;-;
21;Obras Pengatur;;-;-;-;Campuran;2018;02.06.02.06.24;001; Rp1.150.000 ; BOS ;Baik;-;-;
22;Ball Head Service;;-;-;-;Campuran;2018;02.06.02.06.24;001-003; Rp2.850.000 ; BOS ;Baik;-;-;
23;Mesin Press Kancing;;-;-;-;Campuran;2019;02.06.02.06.44;001; Rp1.180.000 ; BOS ;Baik;-;-;
24;Mesin Jahit;;Jack;-;-;Campuran;2019;02.06.02.06.24;001; Rp11.850.000 ; BOS ;Baik;-;-;
25;Mesin Jahit;;HIT;-;-;Campuran;2019;02.06.02.06.24;001; Rp4.200.000 ; BOS ;Baik;-;-;
26;Mesin Obras;;-;-;-;Campuran;2019;02.06.02.06.24;001; Rp4.500.000 ; BOS ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;YULIA FITRISUSANTI, S.Pd;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. 19830717 200903 2 005;;;;NIP . 19780722 200801 1 011;;;;;
