KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;;
PROPINSI;;:   JAWA TIMUR;;;;;;;;;;;Semester : I;;;
KABUPATEN;;:   SUMENEP;;;;;;;;;;;;;;
UNIT;;:   CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;;;
SATUAN KERJA;;:   SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;;
RUANGAN;;:   RUANG TATA  USAHA;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll;
;;;;;;;;;;;;Baik         ( B );Kurang Baik                                     ( KB );Rusak Berat         ( RB );;
1;2;;3;4;5;6;7;8;9;10;10;11;12;13;14;
1;Brankas;;Royal;-;52 x 44;Baja;1984;02.06.01.04.06;001; Rp5.500.000 ; B2P ; Baik ;-;-;;
2;Meja  Kerja;;-;-;150x75;Kayu;1984;02.06.04.01.09;001-006; Rp900.000 ; B2P ;Baik;-;-;;
3;Lemari  Data;;-;-;170x43;Kayu;1986;02.06.01.04.05;001; Rp975.000 ; B2P ;Baik;-;-;;
4;Meja  Kerja;;-;-;150x75;Kayu;1986;02.06.04.01.09;001; Rp600.000 ; B2P ;Baik;-;-;;
5;Pemotong Kertas;;;;;Campuran;1989;02.06.02.06.50;001; Rp325.000 ; B2P ;Baik;-;-;;
6;Meja  Kerja;;-;-;150x75;Kayu;1999;02.06.04.01.09;001-005; Rp2.250.000 ; B2P ;Baik;-;-;;
7;Jam Dinding;;-;-;-;Campuran;1999;02.06.02.02.01;001; Rp57.000 ; B2P ;Baik;-;-;;
8;Papan  Data;;-;-;-;Triplek;1999;02.06.01.05.07;001-04; Rp500.000 ; B2P ;Baik;-;-;;
9;Papan  Pengumuman;;-;-;123x83;Triplek;1999;02.06.01.05.07;001; Rp250.000 ; B2P ;Baik;-;-;;
10;Gambar Presiden/Wk.;;-;-;60x42;Kertas;2002;02.06.02.06.29;002; Rp25.000 ; B2P ;Baik;-;-;;
11;Gambar Garuda;;-;-;60x42;Kayu;2002;02.06.02.06.28;002; Rp25.000 ; B2P ;Baik;-;-;;
12;Kursi  Biasa;;-;-;58x52;Kayu;2004;02.06.02.01.06;001-011; Rp75.000 ; B2P ;Baik;-;-;;
13;Kursi  Biasa;;-;-;58x52;Kayu;2004;02.06.02.01.06;001-003; Rp300.000 ; B2P ;Baik;-;-;;
14;Meja Komputer;;Flash;-;80x40;Karbot;2006;02.06.02.01.37;001; Rp500.000 ; B2P ;Baik;-;-;;
15;Faximile;;Panasonic;-;-;Campuran;2007;02.07.02.01.20;001; Rp500.000 ; B2P ;Baik;-;-;;
16;Stepler Besar;;;;-;Campuran;2008;02.06.02.06.50;001; Rp250.000 ; B2P ;Baik;-;-;;
17;PC. Unit;;-;-;-;Campuran;2010;02.06.03.05.01;001; Rp5.500.000 ; B2P ;Baik;-;-;;
18;Lemari  Data;;-;-;170x43;Kayu;2011;02.06.01.04.05;001-003; Rp4.800.000 ; B2P ;Baik;-;-;;
19;Lemari  Raport;;-;-;170x43;Kayu;2013;02.06.01.04.05;001-002; Rp3.900.000 ; B2P ;Baik;-;-;;
20;Printer;;Canon;MP-287;-;Campuran;2013;02.06.03.05.02;001; Rp745.000 ; B2P ;Baik;-;-;;
21;Printer;;Canon;MX-377;-;Campuran;2013;02.06.03.05.02;001; Rp1.140.000 ; B2P ;Baik;-;-;;
22;PC. Unit;;-;-;-;Campuran;2013;02.06.03.05.01;001; Rp5.500.000 ; B2P ;Baik;-;-;;
23;Printer;;Canon;iP2770;-;Campuran;2013;02.06.03.05.02;001-002; Rp1.650.000 ; B2P ;Baik;-;-;;
24;Kursi  Kasubag;;-;-;-;Kayu;2013;02.06.04.01.07;001; Rp450.000 ; B2P ;Baik;-;-;;
25;Meja  Kasubag;;-;-;150x80;Kayu;2013;02.06.04.01.08;001; Rp1.550.000 ; B2P ;Baik;-;-;;
26;Laptop;;Azus;Core  i3;-;Campuran;2013;02.06.03.02.02;001-002; Rp9.800.000 ;e-book;Baik;-;-;;
27;Alat Pemadam Kebakaran;;Yamato;-;-;Campuran;2013;02.09.01.13.28;001; Rp1.500.000 ; B2P ;Baik;-;-;;
28;Laptop;;Acer;4738Z;Pentium;Campuran;2017;02.06.03.02.02;002; - ;Diknas;Baik;-;-;;
29;Dispenser;;Uchida;MD-16 PAS;-;Campuran;2015;02.06.02.04.13;001; Rp475.000 ; B2P ;Baik;-;-;;
30;AC;;Panasonic;-;-;Campuran;2015;02.06.02.04.03;001-002; Rp6.600.000 ; B2P ;Baik;-;-;;
31;Printer;;Pixma Canon;MP-287;-;Campuran;2015;02.06.03.05.04;001; Rp1.155.000 ; B2P ;Baik;-;-;;
32;Aipon;;Sahitel;-;-;Campuran;2016;02.07.02.01.11;001; Rp250.000 ; B2P ;Baik;-;-;;
;;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;;NURUL KAMAR;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP.  19610817 199903 1 004;;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;;
