KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;: JAWA TIMUR;;;;;;;;;;;;;
KABUPATEN;;: SUMENEP;;;;;;;;;;;Semester : I;;
UNIT;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;;
SATUAN KERJA;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;
RUANGAN;;: RUANG  WAKIL KEPALA SEKOLAH (HUMAS);;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Ket
;;;;;;;;;;;;Baik         ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Lemari;;-;-;-;Kayu;1984;02.06.02.01.54;001-002; Rp750.000 ; B2P ;Baik;-;-;
2;Lemari;;-;-;-;Kayu;1979;02.06.02.01.54;001-002; Rp1.500.000 ; B2P ;Baik;-;-;
3;Jam  Dinding;;-;-;-;Campuran;1999;02.06.02.02.01;001; Rp37.000 ; B2P ;Baik;-;-;
4;Papan Agenda;;-;-;112 x 62;Triplek;1999;02.06.01.05.07;001; Rp65.000 ; B2P ;Baik;-;-;
5;Kursi W. Kasek;;-;-;-;Kayu;2007;02.06.04.03.08;001-003; Rp900.000 ; B2P ;Baik;-;-;
6;Meja W. Kasek;;-;-;147 x 69;Kayu;2007;02.06.04.01.08;001-003; Rp550.000 ; B2P ;Baik;-;-;
7;Kursi  Hadap;;-;-;-;Campuran;2007;02.06.04.05.07;001-003; Rp1.200.000 ; B2P ;Baik;-;-;
8;Kipas Angin Dingding;;LG;-;-;Campuran;2003;02.06.02.04.06;001-002; Rp650.000 ;B2P;Baik;-;-;
9;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
10;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
11;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;SUHARMAN, M.Pd;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. 19640210 199403 1 011;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;
