KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;Semester : I;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;
RUANGAN;;;: RUANG GURU;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll;
;;;;;;;;;;;;Baik                                ( B );Kurang Baik ( KB );Rusak Berat         ( RB );;
1;2;;3;4;5;6;7;8;9;10;10;11;12;13;14;
1;Meja Guru;;-;-;120x60;Kayu;1996;02.06.02.01.11;001-080; Rp10.000.000 ; B2P ;Baik;-;-;;
2;Amplifiler;;-;-;-;-;1996;02.06.02.06.05;001; Rp800.000 ; B2P ;Baik;-;-;;
3;Loudspeaker;;Eko;-;-;Campuran;1996;02.06.02.06.07;001-002; Rp250.000 ; B2P ;Baik;;;;
4;Papan Pengumuman;;-;-;120 x 79;Kayu;1997;02.06.01.05.07;001; Rp250.000 ; B2P ;Baik;-;-;;
5;Microphone;;-;-;-;Campuran;2000;02.06.02.06.14;001; Rp75.000 ; B2P ;Baik;-;-;;
6;Tiang Microphone;;-;-;-;Campuran;2000;02.06.02.06.15;001; Rp250.000 ; B2P ;Baik;-;-;;
7;Figura Jadwal Pelajaran;;-;-;-;Kayu;2003;02.06.01.05.07;001-003; Rp200.000 ; B2P ;Baik;-;-;;
8;Jam Dinding;;-;-;-;Campuran;2003;02.06.02.02.01;001; Rp35.000 ; B2P ;Baik;-;-;;
9;Kursi Guru;;Polaris;-;Standart;Campuran;2013;02.06.02.01.30;001 - 023; Rp5.750.000 ; B2P ;Baik;-;-;;
10;Kursi Plastik;;-;-;Standart;Besi;2013;02.06.02.01.30;001 - 040; Rp1.400.000 ; B2P ;Baik;-;-;;
11;Sound System;;-;-;-;Campuran;2010;02.06.02.06.08;001; Rp125.000 ; B2P ;Baik;-;-;;
12;AC;;LG;-;-;Campuran;2011;02.06.02.04.03;001-006; Rp21.000.000 ; B2P ; Baik ;-;-;;
13;Gambar Presiden/Wk.;;-;-;60x42;Kertas;2014;02.06.02.06.29;002; Rp25.000 ; B2P ;Baik;-;-;;
14;Gambar Garuda;;-;-;60x42;Kayu;2014;02.06.02.06.28;002; Rp25.000 ; B2P ;Baik;-;-;;
15;Dispenser;;Uchida;MD-16 PAS;Campuran;Campuran;2015;02.06.02.04.13;001-002; Rp950.000 ; B2P ;Baik;-;-;;
16;Mesin Absensi ;;Bio Finger;-;Campuran;Campuran;2015;02.06.01.05.17;001-002; Rp10.500.000 ; B2P ;Baik;-;-;;
17;Meja Guru;;-;-;120x60;Kayu;2015;02.06.02.01.11;001-045; Rp15.750.000 ; B2P ;Baik;-;-;;
18;Aipon;;Sahitel;-;-;Campuran;2016;02.07.02.01.11;001; Rp250.000 ; B2P ;Baik;-;-;;
;;;;;;;;;;;;;;;;
;MENGETAHUI ;;;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;MUCHLI AJI;;;;;;M A R I Y O N O;;;;;
;NIP. 19690529 199802 1 002;;;;NIP.  19661128 199203 1 006;;;;;;NIP. 19782207 200801 1 011;;;;;
;;;;;;;;;;;;;;;;
