KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;Semester : I;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG LSP;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Meja;;-;-;-;Kayu;2013;02.06.02.01.11;001-007; Rp450.000 ; B2P ;Baik;-;-;
2;Kursi;;Polaris;-;-;Kayu;2013;02.06.02.01.11;001-014; Rp3.500.000 ; B2P ;Baik;-;-;
3;Meja Tamu;;-;-;-;Kayu;2013;02.06.02.01.11;001; Rp750.000 ; B2P ;Baik;-;-;
4;Lemari;;-;-;-;Kayu;2013;02.06.02.01.11;001-002; Rp1.900.000 ; B2P ;Baik;-;-;
5;Lemari Panjang;;-;-;-;Kayu;2013;02.06.02.01.11;001; Rp950.000 ; B2P ;Baik;-;-;
6;Pigura Prosedur LSP;;-;-;-;Campuran;2013;02.06.02.01.11;001; Rp150.000 ; B2P ;Baik;-;-;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd,. M.Pd;;;;Drs. ADI WIJAYA;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. 19650509 199412 1 002;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;
