KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;Semester : I;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;;;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;
RUANGAN;;;: RUANG LAB. BHS. INGGRIS;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll;
;;;;;;;;;;;;Baik         ( B );Kurang Baik ( KB );Rusak Berat         ( RB );;
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15;
1;Console unit;;OLC-5500 B;-;180x74;Campuran;1999;02.07.01.01.82;001; Rp45.000.000 ;B2P;-;KB;-;;
2;Head Set;;OH-99;-;-;Campuran;1999;02.07.01.01.82;001-041; - ;B2P;-;KB;-;;
3;Recorder Orient;;CR-53 OR;-;-;Campuran;1999;02.07.01.01.82;001-042; - ;B2P;-;KB;-;;
4;Cover Recorder;;CA-43;-;-;Campuran;1999;02.07.01.01.82;001-042; - ;B2P;-;KB;-;;
5;Power Suply Unit;;PTU 304 B;-;-;Campuran;1999;02.07.01.01.82;001; - ;B2P;-;KB;-;;
6;Cable;;MT - 4P;-;-;Campuran;1999;02.07.01.01.82;001-040; - ;B2P;-;KB;-;;
7;Cable;;MT - 73 P;-;-;Campuran;1999;02.07.01.01.82;001-040; - ;B2P;-;KB;-;;
8;Speaker;;InterM;-;-;Campuran;1999;02.07.01.01.82;001-002; - ;B2P;-;KB;-;;
9;VCR & Tape;;LG;-;-;Campuran;1999;02.07.01.01.82;001; - ;B2P;-;KB;-;;
10;PC  Unit;;P.III;-;-;Campuran;1999;02.06.03.05.01;001; Rp7.500.000 ;B2P;-;-;RB;;
11;Televisi;;LG;-;21  Inch;Campuran;1999;02.06.02.06.03;002; Rp1.500.000 ;B2P;Baik;-;-;;
12;Kursi  Putar;;Chitose;-;-;Campuran;1999;02.06.02.01.30;001-041; Rp10.250.000 ;B2P;Baik;-;-;;
13;Meja  Praktek;;Elindo;-;156x57;Campuran;1999;02.06.02.01.61;001-020; - ;B2P;Baik;-;-;;
14;AC;;LG;-;-;Campuran;1999;02.06.02.04.03;006-008; Rp7.000.000 ;B2P;-;KB;-;;
15;LCD Proyektor;;Epson;-;-;Campuran;2010;02.06.03.06.01;001; Rp5.250.000 ; B2P ;Baik;-;-;;
16;Kipas  Angin;;CMC;-;-;Campuran;2013;02.06.02.04.06;001-004; Rp150.000 ; B2P ;Baik;-;-;;
17;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;;
18;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;;
19;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ;B2P;Baik;-;-;;
;;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;;;Sumenep, 15 Juli 2019;;;;
;;KEPALA SMKN 1 SUMENEP;;;;;PENANGUNG JAWAB;;;;; PENGURUS BARANG;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;;Drs. Ec. ARIS MUNANDAR, M.Pd;;;;;M A R I Y O N O;;;;
;;NIP. 19690529 199802 1 022;;;;;NIP. 19670305 199103 1 015;;;;;NIP . 19780722 200801 1 011;;;;
;;;;;;;;;;;;;;;;
