KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;: JAWA TIMUR;;;;;;;;;;;Semester : I;;
KABUPATEN;;: SUMENEP;;;;;;;;;;;;;
UNIT;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;;
SATUAN KERJA;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;
RUANGAN;;: RUANG UKS;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik         ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Tempat Tidur Kayu (Lengkap);;-;-;-;Campuran;1999;02.06.02.01.09;001-002; Rp1.500.000 ; B2P ;-;KB;-;
2;Lemari Kayu;;-;-;-;Campuran;1999;02.06.02.01.01;001-002; Rp2.500.000 ; B2P ;Baik;-;-;
3;Kursi Kayu;;-;-;-;Campuran;2003;02.06.02.04.07;001-004; Rp300.000 ; B2P ;Baik;-;-;
4;Papan Usaha Kesehatan Sekolah;;-;-;-;Triplek;2008;02.06.01.05.07;001; Rp150.000 ; B2P ;Baik;-;-;
5;Papan Program Kerja UKS;;-;-;-;Triplek;2008;02.06.01.05.07;001; Rp150.000 ; B2P ;Baik;-;-;
6;Tandu Pramuka / P3K;;GEA Medical;-;-;Campuran;2012;02.06.02.01.61;001; Rp725.000 ; B2P ;Baik;-;-;
7;Timbangan Orang;;GEA;-;38x27;Campuran;2015;02.04.03.10.08;001; Rp95.000 ; B2P ;Baik;-;-;
8;Papan White Board;;-;-;-;Triplek;2015;02.06.01.05.07;001-003; Rp225.000 ; B2P ;Baik;-;-;
9;Andromomiter (Pengukur Tinggi Badan);;-;-;-;Triplek;2015;02.09.01.13.28;001-004; Rp225.001 ; B2P ;Baik;-;-;
10;P3K;;-;-;-;Triplek;2015;02.09.01.13.28;001-005; Rp225.002 ; B2P ;Baik;-;-;
11;Kipas Angin Dinding;;-;-;-;Campuran;2015;02.06.02.04.06;001-002; Rp550.000 ; B2P ;Baik;-;-;
12;Benner 10 Prilaku Hidup Besih, Sehat ;;-;-;-;Campuran;2016;02.06.01.05.07;001-010; Rp225.007 ; B2P ;Baik;-;-;
13;Selimut;;Parwitek;IDM 56320;122x185;Kain;2016;02.06.02.01.42;001-002; Rp90.000 ; B2P ;Baik;-;-;
14;Tempat Sampah Plastik;;Vtr ;-;-;Plastik;2016;02.06.02.02.05;003; Rp35.000 ; B2P ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 19 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;;PENANGUNG JAWAB;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;;MOH. EKSAN HARIYADI, Spd;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;;NIP. 19760301 200501 1 008;;;NIP . 19780722 200801 1 011;;;;;
