KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;: JAWA TIMUR;;;;;;;;;;;Semester : I;;
KABUPATEN;;: SUMENEP;;;;;;;;;;;;;
UNIT;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;;
SATUAN KERJA;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;
RUANGAN;;: RUANG  BP/BK;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik         ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Meja Guru;;-;-;-;Kayu;1999;02.06.02.01.11;001-008; Rp450.000 ; B2P ;Baik;-;-;
2;Meja Komputer;;-;-;-;Kayu;1999;02.06.02.01.06;001-003; Rp75.000 ; B2P ;Baik;-;-;
3;Kursi Biasa;;-;-;-;Kayu;1999;02.06.02.01.06;001-007; Rp525.000 ; B2P ;Baik;-;-;
4;Kursi Plastik;;-;-;-;Kayu;1999;02.06.02.01.06;001-004; Rp100.000 ; B2P ;Baik;-;-;
5;Lemari Kayu;;-;-;-;Campuran;1999;02.06.02.01.01;001-004; Rp6.000.000 ; B2P ;Baik;-;-;
6;Papan Data;;-;-;-;Kayu;1999;02.06.01.05.07;001-004; Rp850.000 ; B2P ;Baik;-;-;
7;Kipas Angin Tembok;;Maspion;-;-;Campuran;2010;02.06.02.04.06;001-006; Rp1.170.000 ; B2P ;Baik;-;-;
8;Lemari Buku Siswa;;-;-;-;Campuran;2012;02.06.02.01.01;001; Rp2.000.000 ; B2P ;Baik;-;-;
9;Printer;;Canon;-;MX-377;Campuran;2013;02.06.03.05.03;001; Rp1.140.000 ;Komite;Baik;-;-;
10;Jam Dinding;;-;-;-;Campuran;2013;02.06.02.02.01;001; Rp57.000 ;Baik;Baik;-;-;
11;PC Unit;;-;-;-;Campuran;2013;02.06.03.02.01;001;-;Diknas;Baik;-;-;
12;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
13;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
14;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
15;Visi dan Mis;;-;-;-;Campuran;2015;02.06.02.06.30;002; - ; B2P ;Baik;-;-;
16;Papan Bimbingan;;-;-;-;Campuran;2016;02.06.02.06.31;003; - ; B2P ;Baik;-;-;
17;Papan Peduli Siswa;;-;-;-;Campuran;2017;02.06.02.06.32;004; - ; B2P ;Baik;-;-;
18;Dispenser;;Uchida;MD-16 PAS;-;Campuran;2015;02.06.02.04.13;001; Rp475.000 ;BOS;Baik;-;-;
19;AC;;Panasonic;-;-;Campuran;2015;02.06.02.04.03;001-002; Rp6.600.000 ;BOS;Baik;-;-;
20;PC Unit;;Lenovo;-;-;Campuran;2015;02.06.03.02.01;001; - ;Kemdikbud;Baik;-;-;
21;Aipon;;Sahitel;-;-;Campuran;2016;02.07.02.01.11;001; Rp250.000 ;BOS;Baik;-;-;
;;;;;;;;;;;;;;;
;MENGETAHUI ;;;;;;;;;Sumenep, 19 Juli 2019;;;;;
;KEPALA SMKN 1 SUMENEP;;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;;INQE OKTAVIA NORDIANI, S.Pd;;;;M A R I Y O N O;;;;;
;NIP. 19690529 199802 1 022;;;;;NIP.  19871026 201001 2 016;;;;NIP . 19780722 200801 1 011;;;;;
;;;;;;;;;;;;;;;
