KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;;;;
PROPINSI;;: JAWA TIMUR;;;;;;;;;;;;;;;;
KABUPATEN;;: SUMENEP;;;;;;;;;;;;;;;;
UNIT;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;Semester : I;;;;;
SATUAN KERJA;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;;;;
RUANGAN;;: TEACHING FACTORY;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll;;;
;;;;;;;;;;;;Baik         ( B );Kurang Baik                     ( KB );Rusak Berat         ( RB );;;;
1;2;;3;4;5;6;7;8;9;10;;11;12;13;14;;;
1;Meja Rapat;;-;-;-;Kayu;1999;02.06.02.01.11;001-006; Rp3.000.000 ; B2P ;Baik;-;-;;;;
2;Kusrsi Plastik;;Blue Shark;-;-;Campuran;2009;02.06.02.01.06;001-100; Rp6.264.000 ; B2P ;Baik;-;-;;;;
3;Kursi Rapat;;-;-;-;Kayu;2015;02.06.02.01.06;001-007; Rp525.000 ; B2P ;Baik;-;-;;;;
4;Figura Gamb. Pres;;-;-;60X42;Campuran;2016;02.06.02.06.29;001; Rp50.000 ; B2P ;Baik   ;-;-;;;;
5;Figura Gamb. W. Pres;;-;-;60X42;Campuran;2016;02.06.02.06.28;001; Rp50.000 ; B2P ;Baik;-;-;;;;
6;Lambang Garuda;;-;-;100 X 100;Kayu;2016;02.06.02.06.28;001; Rp600.000 ; BOS ;Baik;-;-;;;;
7;Kipas Angin Tembok;;LG;-;-;Campuran;2016;02.06.02.04.06;001-010; Rp2.030.000 ; BOS ;Baik;-;-;;;;
8;Jam Dinding;;Mirado;-;-;Campuran;2016;02.06.02.02.01;001; Rp300.000 ; BOS ;Baik;-;-;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;MENGETAHUI ;;;;;;;;;Sumenep, 19 Juli 2019;;;;;;;;
;KEPALA SMKN 1 SUMENEP;;;;;;;;;PENGURUS BARANG;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;;;;;;M A R I Y O N O;;;;;;;;
;NIP. 19690529 199802 1 022;;;;;;;;;NIP . 19780722 200801 1 011;;;;;;;;
;;;;;;;;;;;;;;;;;;
